Distance_m,Altitude_m,Interference_Level,SNR_dB
344.49,34.13,0,90.67
1472.32,62.6,1,46.59
188.55,59.22,2,67.75
532.98,36.09,1,73.18
1556.63,59.99,1,46.62
1964.73,140.41,2,23.9
1871.92,61.16,2,18.55
1928.44,113.58,1,41.48
1231.24,49.49,1,57.13
899.18,147.44,2,52.83
95.55,82.01,1,90.49
1790.68,36.51,1,33.33
1220.99,146.17,0,77.81
543.54,11.59,0,84.2
1450.86,99.01,2,38.05
993.04,138.17,1,65.08
1530.87,106.21,0,64.59
974.6,17.38,2,39.87
222.77,107.24,1,86.08
1675.72,127.73,1,46.85
721.01,80.65,1,74.59
506.23,121.94,0,100
1344.14,50.61,0,65.73
647.63,46.3,0,80.27
937.6,115.59,0,78.72
699.92,57.0,1,66.5
1735.36,64.83,1,39.39
190.27,76.94,2,72.57
1413.63,117.44,2,44.27
1153.46,74.45,2,41.93
1255.05,136.01,1,57.06
1763.6,9.49,1,33.14
1916.27,39.04,1,35.4
844.44,122.79,1,72.21
582.69,12.57,0,83.54
681.77,100.17,2,55.47
1005.15,25.04,1,53.9
53.96,60.7,0,100
1202.38,38.83,2,38.29
732.82,140.79,2,60.21
94.55,53.96,1,88.34
716.32,130.78,0,94.82
951.08,49.12,1,61.51
191.53,145.36,2,81.76
703.05,62.75,2,56.96
526.89,43.7,0,91.67
821.61,28.79,1,68.07
240.9,82.36,1,86.88
1498.4,118.23,0,65.11
574.57,123.85,2,68.46
1461.37,24.62,0,57.04
452.87,18.58,2,55.19
623.83,102.77,1,81.41
770.54,60.47,0,80.05
1150.92,17.64,1,47.64
383.0,100.81,0,95.76
616.48,13.07,1,69.81
1904.89,78.93,1,31.68
1410.22,145.85,1,53.65
497.8,145.11,0,98.7
559.87,32.28,1,72.3
1150.96,10.92,1,50.34
944.1,88.08,2,47.01
744.88,82.23,0,83.83
1915.67,25.06,2,15.29
1401.66,116.07,0,67.8
1326.65,11.09,1,46.81
